feature_name,importance
mean50__2fry4,0.0034951253399639307
mean50__2fhw4,0.003259529393711957
current__2fyj1,0.003134892324342443
mean5__2fyj3,0.002892824469293061
mean5__2fyj2,0.0027963454579716753
current__2fhsw3,0.002759966397355245
mean50__2ffy3,0.0027535325764848355
mean20__2fry4,0.001915128370136928
std20__2fsh1,0.0018428262944642862
mean20__2fhw2,0.0017378909461041661
mean5__2fhw2,0.0017285375930137176
std20__2ffy4,0.0016267189304512337
mean20__2fhw4,0.0016039197561859913
mean5__2fhw4,0.001323715054669967
current__2fhsw1,0.0012670334694989988
current__2fhw3,0.0012632582709995982
mean5__2fhw3,0.0012407508085372867
mean5__2fhsw4,0.0011625924001379142
mean50__2fpw1,0.0011581718382632322
mean20__2fhw3,0.0011536038632244245
mean50__2fhw3,0.0010559318279210039
mean50__2fhsw1,0.000935281344900977
std20__2fn3,0.0009037251029153542
mean50__2fysy,0.0008835262139937168
current__2fhw2,0.000870611860984828
current__2fhw4,0.0008621199581645664
mean50__2fry1,0.0008557744540700837
mean50__2jhdc,0.0007905926817665163
std20__2fn2,0.0007704247711479467
mean20__2ftpj,0.0007545733674013197
mean20__2fysy,0.0006668115360884896
mean50__2jhdb,0.0005656169741678141
mean20__2fzs2,0.0005452582669833619
mean50__2fpw3,0.0005061415165187102
mean50__2jhda,0.0004961106628301198
mean20__2fry1,0.0004593447339600434
mean50__2fhw1,0.00045245423922837125
mean20__2fhsw1,0.0004513275535397989
current__2fpw1,0.00044758712109997266
mean50__2fsh4,0.00042319710186844054
mean5__2fpw1,0.00042024305580875274
std20__2fn4,0.00039217484891002796
mean50__2fsh2,0.0003698096123288141
std20__2fhsw2,0.0003580781427427137
mean20__2fzg2,0.0003531171808177822
mean50__2fsh3,0.00033891439175999
mean20__2fpw1,0.0003192540748806131
mean20__2ffy3,0.0003119190091175897
mean5__2fhsw1,0.00029490099608571127
mean50__2fpw4,0.0002924026542862341
mean5__2fysy,0.0002752713209831491
mean20__2fry2,0.00024039948681421454
current__2fzg2,0.0002390682366389954
mean50__2fyj2,0.00021967662606077115
mean50__2ffy2,0.00021090346768035332
mean50__2fzg2,0.0002106461440290448
mean20__2jhdb,0.00020764836968906438
mean5__2jhdb,0.0002006422484823813
mean5__2fry4,0.0001928011436717739
mean5__2ftpj,0.00018467776531565003
std20__2fn1,0.00017898006355713907
mean20__2fpw3,0.00017777684625986482
mean20__2fsh4,0.0001756531241645953
mean5__2ffy3,0.00016129422189660998
current__2jhda,0.0001446074092114673
mean20__2fsh2,0.00013751902305817766
mean50__2fry2,0.00013105547373758663
current__2jhdc,0.00012061591039771014
mean20__2jhdc,0.00012050137643455806
mean20__2fhw1,0.00011827966630092944
mean50__2fpw2,0.00011559568170587862
std5__2fpw1,0.00011446988054445352
mean5__2jhdc,0.00010806971336412901
mean5__2ffy4,0.00010478749110320014
std5__2fn1,9.829625504456714e-05
current__2fzs2,9.372735841350943e-05
std5__2fn2,8.668382959372421e-05
mean20__2fpw4,8.444580573961013e-05
mean5__2fpw4,8.351927203876724e-05
current__2fpw2,8.254033047171756e-05
mean20__2jhda,7.831436685410414e-05
std5__2ffy2,7.538447551458755e-05
current__2fpw4,7.404006415322934e-05
mean50__2ftpj,7.217400813516328e-05
mean5__2fsh4,6.850855243781663e-05
mean5__2fzg2,6.3753357634268e-05
std5__2fzs1,6.198863579241041e-05
std20__2fysy,5.880887744186842e-05
mean5__2jhda,5.509361758097209e-05
std5__2fpw4,5.222541413105832e-05
mean5__2fzs3,5.038007084692082e-05
std5__2fzs4,4.949032788739037e-05
delta1__2fzg3,4.7751107429212415e-05
std20__2fhw2,4.761309007814342e-05
std5__2jhdc,4.5708794637499624e-05
std20__2fzs2,4.551245832322572e-05
std20__2ffy2,4.5434646224592595e-05
std20__2fhsw3,4.4317402506956126e-05
current__2fsh1,4.392325543184007e-05
std20__2fpw2,4.369802722229001e-05
delta1__2fpw3,4.364591607650473e-05
mean20__2fsh3,4.0317964085006754e-05
std5__2fpw3,3.8912283863774706e-05
mean5__2fsh3,3.8166356575180766e-05
std20__2ffy1,3.689451543551164e-05
std20__2fpw3,3.637704490010922e-05
current__2fn2,3.515795334793659e-05
std20__2fzs3,3.406217695845118e-05
std20__2fzg1,3.181382760535044e-05
current__2fzg4,3.0737155436235545e-05
std20__2jhdb,3.0388344477676213e-05
current__2fpw3,3.0235806318299727e-05
mean20__2fpw2,3.0227268258300966e-05
std5__2fhw3,3.019227950903071e-05
std5__2fsh1,2.9974597445914296e-05
delta1__2jhdb,2.9947074097197063e-05
std5__2fzs2,2.9074764016788508e-05
std5__2ffy3,2.8870949854481148e-05
std20__2fhw3,2.8598681466790027e-05
std5__2fzg3,2.727616882567482e-05
std20__2jhda,2.726837154663508e-05
std20__2fhw1,2.6896431616406574e-05
std20__2fhsw4,2.428734699850466e-05
std5__2fn3,2.411651754473737e-05
delta1__2jhdc,2.3999230812150858e-05
std20__2ffy3,2.2483568256477187e-05
std5__2jhda,2.2407454663021412e-05
std5__2fzg1,2.197892185358355e-05
std20__2fzs4,2.1712683022288537e-05
std5__2fzs3,2.1589104110226926e-05
std5__2fhw4,2.1181870355759028e-05
std5__2fhsw3,2.0985691009994443e-05
delta1__2fpw1,1.9871813552375854e-05
std20__2fry4,1.908216061978745e-05
std20__2fpw4,1.907289784083474e-05
std5__2fzg4,1.8003440043530745e-05
