feature,files,healthy_files,defective_files,median_non_null_ratio,median_unique_values,global_std,healthy_file_ratio,defective_file_ratio,selected_for_anomaly
fry4,32,18,14,1.0,18.0,2.0487129371433292,0.8181818181818182,0.9333333333333333,True
2fry1,32,18,14,1.0,17.0,1.565253526296482,0.8181818181818182,0.9333333333333333,True
2fry4,32,18,14,1.0,17.0,2.042736453951848,0.8181818181818182,0.9333333333333333,True
fry1,32,18,14,1.0,17.0,1.559497474646951,0.8181818181818182,0.9333333333333333,True
ilsvor,32,18,14,1.0,8.0,1.8558418575497324,0.8181818181818182,0.9333333333333333,True
rjg,32,18,14,1.0,5.5,0.15148623832650543,0.8181818181818182,0.9333333333333333,True
rjp,32,18,14,1.0,5.0,0.07528249744993934,0.8181818181818182,0.9333333333333333,True
fpx,32,18,14,1.0,3.0,3.4544586583407293,0.8181818181818182,0.9333333333333333,True
gtxb,30,18,12,1.0,1888.0,76.88317474757913,0.8181818181818182,0.8,True
ljgw,30,16,14,1.0,494.0,1.211200971977269,0.7272727272727273,0.9333333333333333,True
rjgw,30,18,12,1.0,478.0,1.0893009772634958,0.8181818181818182,0.8,True
xdl,30,16,14,1.0,45.0,256.4433608260761,0.7272727272727273,0.9333333333333333,True
2fpx,30,16,14,1.0,3.0,3.4378537459282956,0.7272727272727273,0.9333333333333333,True
2fyy,28,16,12,1.0,29.5,0.12148821017208992,0.7272727272727273,0.8,True
fyy,28,16,12,1.0,29.5,0.12093239330059781,0.7272727272727273,0.8,True
2lftj,28,14,14,1.0,2.0,0.04389372981192858,0.6363636363636364,0.9333333333333333,False
lftj,28,14,14,1.0,2.0,0.03693208993217384,0.6363636363636364,0.9333333333333333,False
1_2,16,16,0,1.0,3102.0,5.711469058994773,0.7272727272727273,0.0,False
gama,16,2,14,1.0,2388.5,4.410366656544609,0.09090909090909091,0.9333333333333333,False
1,16,16,0,1.0,2033.5,2.2150697633373175,0.7272727272727273,0.0,False
theta,16,2,14,1.0,1897.0,2.3118786938740317,0.09090909090909091,0.9333333333333333,False
y,16,16,0,1.0,863.5,3.9119184590835436,0.7272727272727273,0.0,False
sigmay,16,2,14,1.0,715.0,4.152166350949778,0.09090909090909091,0.9333333333333333,False
xr,16,16,0,1.0,548.0,3.1612232087735133,0.7272727272727273,0.0,False
xl,16,16,0,1.0,534.5,3.0147072058631776,0.7272727272727273,0.0,False
sigmaxr,16,2,14,1.0,485.5,4.0178266152352675,0.09090909090909091,0.9333333333333333,False
sigmaxl,16,2,14,1.0,470.5,4.023209452381938,0.09090909090909091,0.9333333333333333,False
zl,16,16,0,1.0,343.5,1.7831926944344854,0.7272727272727273,0.0,False
sigmazr,16,2,14,1.0,286.0,1.1995101410302587,0.09090909090909091,0.9333333333333333,False
zr,16,16,0,1.0,284.5,1.3143003994770135,0.7272727272727273,0.0,False
sigmazl,16,2,14,1.0,283.0,1.492821442615039,0.09090909090909091,0.9333333333333333,False
2rftj,16,6,10,1.0,2.0,0.026450384027376664,0.2727272727272727,0.6666666666666666,False
