feature,healthy_mean,defective_mean,standardized_mean_difference,absolute_standardized_mean_difference
dp,0.12257551401853561,-0.3623585104942322,-0.11846037209033966,0.11846037209033966
2fsh2,154.9097137451172,150.04910278320312,-0.11260572075843811,0.11260572075843811
fsh2,154.90260314941406,150.04286193847656,-0.11258630454540253,0.11258630454540253
aoat,6.66504430770874,6.827749729156494,0.10913354903459549,0.10913354903459549
fry4,40.64706802368164,40.318145751953125,-0.09932098537683487,0.09932098537683487
2fn4,434.47418212890625,455.93304443359375,0.09528439491987228,0.09528439491987228
fry3,39.927093505859375,39.603065490722656,-0.09499704092741013,0.09499704092741013
2fry4,40.64252471923828,40.33157730102539,-0.09392696619033813,0.09392696619033813
fn4,434.5364074707031,455.65594482421875,0.09371170401573181,0.09371170401573181
fs,21.590723037719727,23.390195846557617,0.09302403032779694,0.09302403032779694
fsh4,144.24888610839844,148.03981018066406,0.0918639749288559,0.0918639749288559
2fsh4,144.2534637451172,148.02879333496094,0.09149287641048431,0.09149287641048431
2fry3,39.9234733581543,39.6159782409668,-0.09020276367664337,0.09020276367664337
gcj,0.05239188298583031,-0.3195159435272217,-0.08747556060552597,0.08747556060552597
hp,16173.482421875,15487.6943359375,-0.07474914938211441,0.07474914938211441
2zg,5283.853515625,5100.64111328125,-0.06787268072366714,0.06787268072366714
fn2,475.9342956542969,461.2396240234375,-0.06374438852071762,0.06374438852071762
hc,16062.7333984375,15484.564453125,-0.06288553774356842,0.06288553774356842
2fn2,475.8538818359375,461.527587890625,-0.06219523027539253,0.06219523027539253
fpw3,769.6318969726562,759.4716186523438,-0.05903736874461174,0.05903736874461174
gsel,0.024377405643463135,0.018238529562950134,-0.05858965590596199,0.05858965590596199
2fpw3,770.8270874023438,760.9423217773438,-0.05754704028367996,0.05754704028367996
dtg,42.6402702331543,45.5885124206543,0.052191462367773056,0.052191462367773056
2fn1,440.4426574707031,449.46893310546875,0.04057029262185097,0.04057029262185097
fn1,440.47576904296875,449.1916198730469,0.039151594042778015,0.039151594042778015
2yjwx,2.516645908355713,2.2606303691864014,-0.03796767815947533,0.03796767815947533
2zjwx,2.5166311264038086,2.260812282562256,-0.03793751820921898,0.03793751820921898
2lqsy,189.77764892578125,211.92481994628906,0.03729059547185898,0.03729059547185898
2lhsy,189.66775512695312,211.70901489257812,0.03714132308959961,0.03714132308959961
2rqsy,190.11459350585938,211.38475036621094,0.035794202238321304,0.035794202238321304
ds,213.44317626953125,216.85882568359375,0.034142907708883286,0.034142907708883286
2fyj3,52.09122085571289,53.03911590576172,0.03392716124653816,0.03392716124653816
fyj3,52.09734344482422,53.02296829223633,0.03313073143362999,0.03313073143362999
2rhsy,189.87782287597656,206.2430419921875,0.027898451313376427,0.027898451313376427
2fyj2,52.55841827392578,53.30409240722656,0.02681180275976658,0.02681180275976658
2fyj1,51.51107406616211,52.25110626220703,0.026500044390559196,0.026500044390559196
fyj2,52.560733795166016,53.290042877197266,0.026222465559840202,0.026222465559840202
2fn3,442.9644775390625,448.787109375,0.02610763907432556,0.02610763907432556
fyj1,51.51348876953125,52.24177932739258,0.026079293340444565,0.026079293340444565
fsh1,146.45916748046875,147.46864318847656,0.02497420646250248,0.02497420646250248
2fsh1,146.46253967285156,147.46951293945312,0.024907724931836128,0.024907724931836128
fn3,443.0553894042969,448.4468078613281,0.024158010259270668,0.024158010259270668
fsh3,147.30416870117188,148.17811584472656,0.020919477567076683,0.020919477567076683
2fsh3,147.30726623535156,148.17637634277344,0.02080196514725685,0.02080196514725685
ctd,-0.13356195390224457,-0.20841197669506073,-0.015073911286890507,0.015073911286890507
fzg1,19.24215316772461,19.20033073425293,-0.006580571178346872,0.006580571178346872
2fzg1,19.23615837097168,19.26063346862793,0.0038846642710268497,0.0038846642710268497
fyj4,52.1153678894043,52.09855270385742,-0.0006019126740284264,0.0006019126740284264
hpr,-0.1710556298494339,-0.16706456243991852,0.0004519262001849711,0.0004519262001849711
2fyj4,52.111419677734375,52.112998962402344,5.6528668210376054e-05,5.6528668210376054e-05
