threshold,file_rate_threshold,healthy_file_false_alarm_rate,defective_file_detection_rate,healthy_row_false_alarm_rate,defective_row_detection_rate,row_roc_auc,objective,w_pca,w_iso,w_maha
2.0359039306640625,0.005,0.6363636363636364,1.0,0.010004547521600727,0.04731056375286579,0.6633997987568214,0.32549107929326954,0.0,1.0,0.0
3.103149800300595,0.03,0.6363636363636364,1.0,0.04000124280093436,0.08860149315149021,0.6427668564785719,0.32052714407763416,0.4,0.6,0.0
3.248810982704161,0.03,0.6363636363636364,1.0,0.035448072105050576,0.08028922461936394,0.6427668564785719,0.320190937936992,0.4,0.6,0.0
3.748145866394043,0.002,0.6363636363636364,1.0,0.005005098308378455,0.023373111516077832,0.6503819436472159,0.31964588752299444,0.2,0.8,0.0
4.04463165855407,0.03,0.6363636363636364,1.0,0.04000124280093436,0.08094762212685909,0.640042205631577,0.31869790071219073,0.6,0.4,0.0
4.14970697402954,0.03,0.6363636363636364,1.0,0.03809184863814438,0.07478690259244018,0.640042205631577,0.3181556716145859,0.6,0.4,0.0
5.066537256240844,0.03,0.6363636363636364,1.0,0.03905219481469556,0.07278819587325848,0.6396164705796116,0.31755736260840706,0.8,0.2,0.0
9.04386103153229,0.005,0.6363636363636364,1.0,0.007004877993667364,0.022256187173005704,0.6396164705796116,0.3163870246675748,0.8,0.2,0.0
5.999240684509267,0.03,0.6363636363636364,1.0,0.03951542061750259,0.07182411380871201,0.6226372887111908,0.31307530967105845,1.0,0.0,0.0
7.763824939727783,0.03,0.2727272727272727,0.5714285714285714,0.02229132948629953,0.046052554229616134,0.6226372887111908,0.31005699136303216,1.0,0.0,0.0
7.4119277715682985,0.01,0.5454545454545454,0.8571428571428571,0.015003996734823,0.035964963846922576,0.6396164705796116,0.29476559534250907,0.8,0.2,0.0
9.241931261062623,0.005,0.5454545454545454,0.8571428571428571,0.0066602831891401796,0.016953735818000117,0.6396164705796116,0.2935826538473073,0.8,0.2,0.0
7.931167387962342,0.0005,0.5454545454545454,0.8571428571428571,0.0010055389378006378,0.0034213156193051556,0.6427668564785719,0.29347133614251114,0.4,0.6,0.0
6.715806078910828,0.03,0.18181818181818182,0.42857142857142855,0.020003445948045272,0.041302686496972545,0.6396164705796116,0.2919689612999696,0.8,0.2,0.0
9.0172700881958,0.01,0.5454545454545454,0.8571428571428571,0.015003996734823,0.0353771089295162,0.6226372887111908,0.290432621637793,1.0,0.0,0.0
8.133609771728516,0.03,0.18181818181818182,0.42857142857142855,0.020003445948045272,0.03999764858033038,0.6226372887111908,0.28752841014536806,1.0,0.0,0.0
2.568182945251465,0.002,0.09090909090909091,0.2857142857142857,0.0010055389378006378,0.0021750631944036213,0.6633997987568214,0.2737673091730136,0.0,1.0,0.0
1.460308537483215,0.03,0.7272727272727273,1.0,0.04000124280093436,0.15501734172006348,0.6633997987568214,0.2720113932961189,0.0,1.0,0.0
9.241931261062623,0.02,0.09090909090909091,0.2857142857142857,0.0066602831891401796,0.016953735818000117,0.6396164705796116,0.2689073291719826,0.8,0.2,0.0
8.103492164611815,0.01,0.09090909090909091,0.2857142857142857,0.005005098308378455,0.00817118335194874,0.640042205631577,0.26802741704121863,0.6,0.4,0.0
12.374027061462403,0.005,0.09090909090909091,0.2857142857142857,0.0030053186230895464,0.004679325142554818,0.6396164705796116,0.267797160483876,0.8,0.2,0.0
10.428580856323244,0.01,0.09090909090909091,0.2857142857142857,0.005005098308378455,0.006960202222091588,0.6396164705796116,0.2677393361087487,0.8,0.2,0.0
11.005097236633302,0.02,0.09090909090909091,0.2857142857142857,0.007021825279135915,0.016201281523719947,0.6226372887111908,0.26447735714273635,1.0,0.0,0.0
11.015411376953125,0.02,0.09090909090909091,0.2857142857142857,0.007004877993667364,0.01577802598318735,0.6226372887111908,0.2644172582687501,1.0,0.0,0.0
15.207232475280762,0.005,0.09090909090909091,0.2857142857142857,0.0030053186230895464,0.00456175415907354,0.6226372887111908,0.26353472936924865,1.0,0.0,0.0
12.735456466674805,0.01,0.09090909090909091,0.2857142857142857,0.005005098308378455,0.006807359943565928,0.6226372887111908,0.2634716142998647,1.0,0.0,0.0
1.911752700805664,0.01,0.7272727272727273,1.0,0.015003996734823,0.06364117335841514,0.6633997987568214,0.2633044172550939,0.0,1.0,0.0
2.2288092308044427,0.03,0.7272727272727273,1.0,0.04000124280093436,0.10101698900711305,0.6503819436472159,0.26065687661177495,0.2,0.8,0.0
2.693647575378418,0.01,0.7272727272727273,1.0,0.017043320086205193,0.056974898595026746,0.6503819436472159,0.2586421475929078,0.2,0.8,0.0
3.100353527069092,0.005,0.7272727272727273,1.0,0.010004547521600727,0.03739932984539416,0.6503819436472159,0.2571135667933839,0.2,0.8,0.0
3.474321699142456,0.002,0.7272727272727273,1.0,0.007004877993667364,0.029839515607548057,0.6503819436472159,0.25657952856329364,0.2,0.8,0.0
3.3926900119781482,0.02,0.7272727272727273,1.0,0.030002344374489814,0.07310563752865792,0.6427668564785719,0.2565661817831347,0.4,0.6,0.0
3.748145866394043,0.001,0.7272727272727273,1.0,0.005005098308378455,0.023373111516077832,0.6503819436472159,0.25600952388663084,0.2,0.8,0.0
3.8548183517456147,0.001,0.7272727272727273,1.0,0.0041859795107318685,0.022103344894480043,0.6503819436472159,0.2559828826529206,0.2,0.8,0.0
4.020144653320313,0.0005,0.7272727272727273,1.0,0.0030053186230895464,0.01917582740579625,0.6503819436472159,0.25577988720714634,0.2,0.8,0.0
4.020144653320313,0.001,0.7272727272727273,1.0,0.0030053186230895464,0.01917582740579625,0.6503819436472159,0.25577988720714634,0.2,0.8,0.0
4.914928698539734,0.005,0.7272727272727273,1.0,0.010004547521600727,0.03273176180118747,0.6427668564785719,0.2545096597945919,0.4,0.6,0.0
4.492766044616692,0.02,0.7272727272727273,1.0,0.030002344374489814,0.06227734995003233,0.640042205631577,0.254260775934592,0.6,0.4,0.0
4.9963066940307534,0.03,0.7272727272727273,1.0,0.04000124280093436,0.07521015813297278,0.6396164705796116,0.25409448371375287,0.8,0.2,0.0
5.595090840816494,0.02,0.7272727272727273,1.0,0.030002344374489814,0.06012580095232497,0.6396164705796116,0.2538316098219446,0.8,0.2,0.0
5.567476153373719,0.002,0.7272727272727273,1.0,0.007004877993667364,0.02327905472929281,0.6427668564785719,0.25369168763939437,0.4,0.6,0.0
6.736673831939696,0.005,0.7272727272727273,1.0,0.010004547521600727,0.031579566163070956,0.640042205631577,0.2536556677371256,0.6,0.4,0.0
5.714667720794688,0.001,0.7272727272727273,1.0,0.0052593075904067066,0.019869496208335783,0.6427668564785719,0.25352936794190295,0.4,0.6,0.0
5.714667720794688,0.002,0.7272727272727273,1.0,0.0052593075904067066,0.019869496208335783,0.6427668564785719,0.25352936794190295,0.4,0.6,0.0
8.495026993751527,0.005,0.7272727272727273,1.0,0.010004547521600727,0.030615484098524486,0.6396164705796116,0.2534046216644524,0.8,0.2,0.0
5.8063890695571905,0.001,0.7272727272727273,1.0,0.005005098308378455,0.016906707424607606,0.6427668564785719,0.25313579148074933,0.4,0.6,0.0
5.8063890695571905,0.002,0.7272727272727273,1.0,0.005005098308378455,0.016906707424607606,0.6427668564785719,0.25313579148074933,0.4,0.6,0.0
